name,rating,review_count,address,price_level,business_status,neighborhood,name_clean,is_chain,review_count_capped,popularity_score,rating_score,rating_confidence,adjusted_rating_score,price_score,dominance_raw,dominance_score,place_id,recency_score,health_score,health_category
Ritual House,4.5,809,"524 William Penn Pl, Pittsburgh, PA 15219, USA",2.0,OPERATIONAL,Downtown,ritual house,False,809.0,83.616801231735,100,0.8361680123173499,83.616801231735,100.0,0.6904792386804932,26.899418121363254,ChIJuanz3VnxNIgRevJ0mtJ3D9c,69.0,76.1,Stable
The Yard,4.3,1712,"100 Fifth Ave, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,the yard,False,1712.0,92.96814145358618,85,0.9296814145358618,79.02292023554826,100.0,1.461187214611872,56.9243557772236,ChIJXXutnFbxNIgR7UUU81s_VKg,58.7,81.0,Thriving
The Eagle - Pittsburgh,4.4,1326,"737 Penn Ave, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,the eagle pittsburgh,False,1326.0,89.78023800521257,85,0.8978023800521256,76.31320230443067,100.0,1.1317372935603636,44.089775561097255,ChIJZ0VnWfTxNIgRzwmWRLP4sy4,35.9,75.0,Stable
Sienna Mercato,4.3,3089,"942 Penn Ave, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,sienna mercato,False,3007.5,100.0,85,1.0,85.0,100.0,2.5668928434259377,100.0,ChIJ94jpoOLzNIgRJYcVFw-XWSU,51.8,90.7,Thriving
The Rebel Room,4.2,110,"405 Wood St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Downtown,the rebel room,False,110.0,58.80152858337265,65,0.5880152858337265,38.220993579192225,60.0,0.09388469252763197,3.657522859517872,ChIJofJwzFbxNIgRC57bGvzRYKE,15.3,40.2,At Risk
Proper Brick Oven & Tap Room,4.6,2221,"139 7th St, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,proper brick oven tap room,False,2221.0,96.2164255861551,100,0.962164255861551,96.2164255861551,100.0,1.8956172918533691,73.8487115544472,ChIJvwEwzVfxNIgROGhy_5YvzPQ,73.5,91.2,Thriving
The Commoner,4.4,2008,"620 William Penn Pl, Pittsburgh, PA 15219, USA",3.0,OPERATIONAL,Downtown,the commoner,False,2008.0,94.95823944452306,85,0.9495823944452306,80.7145035278446,80.0,1.7138223872316818,66.76641729010807,ChIJLe2gNljxNIgRyIt5PgU3xtk,45.0,79.2,Stable
Meat & Potatoes,4.5,2085,"649 Penn Ave, Pittsburgh, PA 15222, USA",3.0,OPERATIONAL,Downtown,meat potatoes,False,2085.0,95.42784046994994,100,0.9542784046994994,95.42784046994994,80.0,1.779541672001024,69.32668329177056,ChIJ1QL2R1bxNIgR3zR9Fz4lorg,55.3,85.2,Thriving
The Warren Bar & Burrow,4.6,1058,"245 7th St, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,the warren bar burrow,False,1058.0,86.96353001690976,100,0.8696353001690975,86.96353001690976,100.0,0.9030000426748601,35.17871986699917,ChIJk8jCsFfxNIgRMmNkTMues7A,57.4,78.2,Stable
Fig & Ash,4.7,897,"514 E Ohio St, Pittsburgh, PA 15212, USA",3.0,OPERATIONAL,Downtown,fig ash,False,897.0,84.90451861454117,100,0.8490451861454118,84.90451861454117,80.0,0.7655869927025989,29.825436408977556,ChIJU-E_KhvzNIgRfi53Eoj79i8,63.8,73.8,Stable
Alta Via Market Square,4.0,223,"2, PPG Place, #150, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,alta via market square,False,223.0,67.56789879223584,65,0.6756789879223584,43.919134214953296,100.0,0.1903298766696539,7.414796342477141,ChIJ7eZZsdPxNIgRVbqH4afjZv0,59.4,55.5,At Risk
Bridges & Bourbon,4.4,895,"930 Penn Ave, Pittsburgh, PA 15222, USA",,OPERATIONAL,Downtown,bridges bourbon,False,895.0,84.87667992663533,85,0.8487667992663533,72.14517793764003,60.0,0.7638799982930056,29.75893599334996,ChIJueESRrnxNIgR4DeLRiwdNwo,57.0,66.3,Stable
The Capital Grille,4.7,1874,"301 Fifth Ave, Pittsburgh, PA 15222, USA",4.0,OPERATIONAL,Downtown,the capital grille,False,1874.0,94.09637492404356,100,0.9409637492404356,94.09637492404356,50.0,1.59945376178893,62.31088944305901,ChIJGfCWEFfxNIgRKdud4avVJZk,80.4,81.3,Thriving
täkō,4.5,1627,"214 6th St, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,tk,False,1627.0,92.33269757037283,100,0.9233269757037282,92.33269757037283,100.0,1.3886399522041564,54.0980881130507,ChIJ-QhLYVbxNIgR7Hk4Ca0Qesc,70.1,85.5,Thriving
Gaucho Parrilla Argentina,4.6,4299,"146 6th St, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,gaucho parrilla argentina,False,3007.5,100.0,100,1.0,100.0,100.0,2.5668928434259377,100.0,ChIJHaLGRefzNIgRf_UaVEuRZtE,72.5,97.2,Thriving
Social House 7,4.0,1206,"123 7th St, Pittsburgh, PA 15222, USA",3.0,OPERATIONAL,Downtown,social house 7,False,1206.0,88.59681331880155,65,0.8859681331880155,57.587928657221006,80.0,1.029317628984765,40.099750623441395,ChIJAQCw1FfxNIgR8gdJyIh-4fM,58.0,67.7,Stable
fl.2,4.1,478,"510 Market St, Pittsburgh, PA 15222, USA",,OPERATIONAL,Downtown,fl2,False,478.0,77.05767105720027,65,0.7705767105720026,50.08748618718017,60.0,0.4079716638928007,15.893599334995843,ChIJUQ8c81bxNIgRnioofxjN84M,25.6,52.1,At Risk
Con Alma,4.4,984,"613 Penn Ave, Pittsburgh, PA 15222, USA",,OPERATIONAL,Downtown,con alma,False,984.0,86.0590859711202,85,0.860590859711202,73.15022307545217,60.0,0.8398412495199078,32.71820448877805,ChIJpcQ-YivxNIgRfsSgGe2EKfM,48.4,66.5,Stable
Revel,4.2,1327,"242 Forbes Ave, Pittsburgh, PA 15222, USA",2.0,OPERATIONAL,Downtown,revel,False,1327.0,89.78964338897426,65,0.8978964338897425,58.36326820283326,100.0,1.1325907907651602,44.123025768911056,ChIJLRZdz1bxNIgRliKBNNMrj_E,70.3,73.1,Stable
